Jurusan,IPK,Bidang_Minat,Keahlian_1,Keahlian_2,Keahlian_3,Kepemimpinan,Komunikasi,Kerja_Tim,Kreativitas,Berpikir_Kritis,Pemecahan_Masalah,Pengalaman_Magang,Pengalaman_Organisasi,Pengalaman_Kompetisi,Jumlah_Sertifikasi,Gaya_Kerja,Preferensi_Industri,Tujuan_Karier,Rekomendasi_Karier
Akuntansi,3.14,Keuangan,Riset,Analisis Data,Analisis Data,4.0,2.0,2.0,3.0,5.0,1.0,Tidak,Ya,Tidak,4.0,Onsite,Pariwisata,Manajer,Analis Data
Peternakan,3.19,Teknologi,Manajemen Proyek,Komunikasi,Analisis Data,2.0,4.0,4.0,4.0,3.0,2.0,Tidak,Ya,Ya,5.0,Remote,Pemerintahan,Manajer,Diplomat
Teknik Elektro,3.1,Media,Sql,Desain Grafis,Pemasaran Digital,2.0,5.0,5.0,4.0,4.0,4.0,Ya,Ya,Tidak,4.0,Hybrid,Pendidikan,Peneliti,Analis Data
Teknik Mesin,3.51,Kesehatan,Python,Manajemen Proyek,Manajemen Proyek,3.0,1.0,4.0,3.0,1.0,3.0,Tidak,Tidak,Ya,2.0,Hybrid,Pariwisata,Manajer,Business Analyst
Perhotelan,3.0,Pemerintahan,Analisis Data,Desain Grafis,Riset,1.0,1.0,2.0,5.0,2.0,1.0,Ya,Ya,Ya,2.0,Hybrid,Teknologi,Wirausaha,Konsultan
Sistem Informasi,3.18,Pemerintahan,Manajemen Proyek,Desain Grafis,Machine Learning,5.0,4.0,3.0,1.0,1.0,1.0,Tidak,Tidak,Ya,3.0,Remote,Manufaktur,Wirausaha,Business Analyst
Sistem Informasi,3.96,Konsultan,Kepemimpinan,Pemasaran Digital,Komunikasi,1.0,3.0,4.0,5.0,3.0,1.0,Ya,Tidak,Ya,0.0,Remote,Media,Peneliti,Business Analyst
Teknik Kimia,2.92,Pertanian,Python,Desain Grafis,Desain Grafis,4.0,1.0,4.0,5.0,1.0,4.0,Ya,Tidak,Tidak,5.0,Onsite,Pemerintahan,Wirausaha,Analis Data
Kimia,3.37,Pendidikan,Analisis Data,Machine Learning,Kepemimpinan,5.0,1.0,2.0,4.0,5.0,2.0,Tidak,Ya,Tidak,4.0,Remote,Teknologi,Peneliti,Konsultan
Matematika,3.05,Pendidikan,Kepemimpinan,Riset,Riset,5.0,4.0,3.0,4.0,3.0,5.0,Tidak,Tidak,Ya,5.0,Remote,Konsultan,Wirausaha,Software Engineer
Teknologi Pangan,3.61,Pendidikan,Riset,Riset,Desain Grafis,2.0,5.0,2.0,3.0,2.0,3.0,Ya,Ya,Tidak,2.0,Hybrid,Pariwisata,Wirausaha,Data Scientist
Kesehatan Masyarakat,3.34,Pemerintahan,Komunikasi,Desain Grafis,Kepemimpinan,1.0,2.0,5.0,4.0,1.0,4.0,Ya,Ya,Ya,2.0,Hybrid,Manufaktur,Peneliti,Konsultan
Teknik Kimia,3.32,Pemerintahan,Sql,Machine Learning,Riset,3.0,1.0,3.0,4.0,3.0,1.0,Tidak,Tidak,Ya,5.0,Onsite,Keuangan,Wirausaha,Business Analyst
Animasi,3.42,Pertanian,Komunikasi,Manajemen Proyek,Kepemimpinan,1.0,1.0,1.0,4.0,1.0,2.0,Ya,Ya,Tidak,4.0,Remote,Pariwisata,Peneliti,Ai Engineer
Pgsd,3.46,Kesehatan,Kepemimpinan,Pemasaran Digital,Pemasaran Digital,3.0,3.0,5.0,1.0,1.0,3.0,Tidak,Tidak,Tidak,3.0,Hybrid,Konsultan,Peneliti,Perawat
Teknik Lingkungan,3.69,Keuangan,Riset,Manajemen Proyek,Kepemimpinan,5.0,5.0,1.0,2.0,5.0,3.0,Tidak,Tidak,Tidak,4.0,Hybrid,Kesehatan,Peneliti,Analis Data
Akuntansi,3.28,Keuangan,Riset,Analisis Data,Desain Grafis,5.0,2.0,2.0,5.0,2.0,2.0,Tidak,Tidak,Ya,1.0,Remote,Pertanian,Manajer,Software Engineer
Akuntansi,3.75,Manufaktur,Sql,Manajemen Proyek,Pemasaran Digital,5.0,1.0,5.0,3.0,3.0,5.0,Tidak,Tidak,Tidak,1.0,Hybrid,Keuangan,Peneliti,Data Scientist
Teknik Industri,3.85,Pariwisata,Machine Learning,Sql,Machine Learning,5.0,2.0,1.0,3.0,3.0,1.0,Ya,Ya,Tidak,0.0,Onsite,Keuangan,Spesialis,Dokter
Hukum,3.28,Keuangan,Kepemimpinan,Pemasaran Digital,Pemasaran Digital,5.0,5.0,3.0,5.0,5.0,4.0,Ya,Ya,Tidak,1.0,Remote,Pertanian,Manajer,Business Analyst
Teknik Industri,3.49,Kesehatan,Machine Learning,Machine Learning,Pemasaran Digital,3.0,1.0,1.0,3.0,4.0,1.0,Ya,Tidak,Tidak,3.0,Hybrid,Pendidikan,Manajer,Jurnalis
Pgsd,3.22,Manufaktur,Desain Grafis,Pemasaran Digital,Kepemimpinan,2.0,3.0,3.0,2.0,3.0,1.0,Ya,Tidak,Tidak,0.0,Remote,Keuangan,Manajer,Guru
Sistem Informasi,2.91,Teknologi,Kepemimpinan,Analisis Data,Kepemimpinan,2.0,4.0,1.0,1.0,1.0,5.0,Tidak,Ya,Ya,0.0,Remote,Media,Spesialis,Ai Engineer
Ilmu Komunikasi,3.01,Pariwisata,Machine Learning,Desain Grafis,Sql,2.0,4.0,3.0,1.0,4.0,4.0,Tidak,Ya,Ya,5.0,Remote,Pertanian,Wirausaha,Data Scientist
Hubungan Internasional,3.73,Pertanian,Manajemen Proyek,Manajemen Proyek,Kepemimpinan,5.0,3.0,5.0,4.0,1.0,3.0,Ya,Ya,Ya,4.0,Remote,Konsultan,Spesialis,Animator
Hukum,2.8,Pendidikan,Analisis Data,Analisis Data,Python,3.0,2.0,1.0,2.0,5.0,4.0,Ya,Ya,Tidak,0.0,Hybrid,Konsultan,Manajer,Analis Data
Teknik Industri,3.15,Manufaktur,Pemasaran Digital,Desain Grafis,Machine Learning,5.0,3.0,1.0,1.0,2.0,3.0,Tidak,Tidak,Tidak,3.0,Onsite,Pemerintahan,Manajer,Diplomat
Pariwisata,3.09,Teknologi,Riset,Machine Learning,Sql,1.0,5.0,1.0,5.0,2.0,4.0,Tidak,Tidak,Ya,4.0,Hybrid,Media,Wirausaha,Perawat
Teknik Mesin,3.81,Teknologi,Sql,Sql,Sql,4.0,4.0,5.0,4.0,5.0,1.0,Tidak,Tidak,Tidak,1.0,Hybrid,Keuangan,Spesialis,Akuntan
Kesehatan Masyarakat,3.22,Pertanian,Sql,Analisis Data,Kepemimpinan,2.0,2.0,3.0,4.0,1.0,4.0,Tidak,Ya,Tidak,5.0,Hybrid,Media,Spesialis,Jurnalis
Matematika,3.11,Pendidikan,Desain Grafis,Machine Learning,Kepemimpinan,5.0,3.0,5.0,4.0,5.0,1.0,Ya,Tidak,Ya,5.0,Hybrid,Pendidikan,Spesialis,Diplomat
Pendidikan Bahasa Inggris,3.51,Media,Desain Grafis,Riset,Machine Learning,1.0,4.0,3.0,3.0,3.0,3.0,Tidak,Tidak,Tidak,0.0,Remote,Manufaktur,Spesialis,Animator
Dkv,3.71,Kesehatan,Sql,Komunikasi,Python,3.0,5.0,3.0,3.0,3.0,3.0,Ya,Tidak,Tidak,4.0,Onsite,Pertanian,Peneliti,Analis Data
Kesehatan Masyarakat,3.36,Pemerintahan,Pemasaran Digital,Komunikasi,Manajemen Proyek,5.0,1.0,4.0,5.0,3.0,1.0,Ya,Tidak,Tidak,1.0,Remote,Keuangan,Peneliti,Akuntan
Administrasi Publik,3.87,Keuangan,Kepemimpinan,Pemasaran Digital,Desain Grafis,1.0,4.0,3.0,5.0,1.0,2.0,Tidak,Ya,Tidak,0.0,Onsite,Pertanian,Manajer,Akuntan
Animasi,3.68,Teknologi,Python,Analisis Data,Machine Learning,4.0,3.0,1.0,3.0,5.0,3.0,Tidak,Ya,Tidak,0.0,Hybrid,Konsultan,Spesialis,Animator
Kedokteran,2.91,Teknologi,Pemasaran Digital,Pemasaran Digital,Pemasaran Digital,4.0,4.0,3.0,2.0,5.0,1.0,Tidak,Tidak,Ya,4.0,Remote,Media,Wirausaha,Software Engineer
Arsitektur,3.48,Pariwisata,Komunikasi,Pemasaran Digital,Desain Grafis,5.0,2.0,3.0,5.0,1.0,3.0,Tidak,Tidak,Ya,2.0,Hybrid,Pemerintahan,Peneliti,Guru
Hubungan Internasional,3.97,Media,Pemasaran Digital,Pemasaran Digital,Desain Grafis,2.0,4.0,4.0,5.0,2.0,2.0,Tidak,Tidak,Tidak,5.0,Onsite,Konsultan,Peneliti,Ai Engineer
Ilmu Komunikasi,3.15,Media,Pemasaran Digital,Machine Learning,Machine Learning,5.0,3.0,3.0,5.0,2.0,3.0,Ya,Ya,Ya,3.0,Onsite,Pariwisata,Manajer,Software Engineer
Hukum,3.37,Keuangan,Pemasaran Digital,Kepemimpinan,Pemasaran Digital,4.0,2.0,3.0,4.0,3.0,3.0,Ya,Tidak,Tidak,0.0,Hybrid,Keuangan,Manajer,Business Analyst
Tata Boga,3.06,Media,Riset,Sql,Manajemen Proyek,5.0,4.0,3.0,1.0,5.0,1.0,Tidak,Tidak,Tidak,5.0,Hybrid,Kesehatan,Peneliti,Analis Data
Teknik Elektro,3.08,Keuangan,Kepemimpinan,Pemasaran Digital,Analisis Data,3.0,2.0,3.0,2.0,1.0,4.0,Ya,Tidak,Tidak,0.0,Remote,Keuangan,Peneliti,Arsitek
Film,3.46,Pemerintahan,Analisis Data,Machine Learning,Sql,2.0,4.0,3.0,3.0,5.0,3.0,Ya,Ya,Ya,1.0,Hybrid,Konsultan,Spesialis,Animator
Matematika,3.49,Pertanian,Riset,Machine Learning,Desain Grafis,1.0,1.0,2.0,3.0,5.0,3.0,Ya,Tidak,Tidak,2.0,Onsite,Pemerintahan,Peneliti,Data Scientist
Peternakan,3.37,Manufaktur,Kepemimpinan,Python,Python,5.0,1.0,5.0,3.0,3.0,5.0,Tidak,Tidak,Tidak,1.0,Hybrid,Konsultan,Peneliti,Analis Data
Keperawatan,3.89,Manufaktur,Machine Learning,Pemasaran Digital,Desain Grafis,3.0,2.0,5.0,1.0,4.0,3.0,Ya,Ya,Ya,5.0,Hybrid,Keuangan,Wirausaha,Ai Engineer
Hubungan Internasional,3.37,Media,Komunikasi,Riset,Kepemimpinan,1.0,5.0,4.0,4.0,1.0,2.0,Tidak,Tidak,Tidak,3.0,Remote,Konsultan,Wirausaha,Analis Data
Psikologi,3.35,Media,Desain Grafis,Python,Riset,4.0,4.0,4.0,3.0,4.0,5.0,Ya,Ya,Tidak,5.0,Hybrid,Kesehatan,Manajer,Perawat
Arsitektur,3.94,Pertanian,Manajemen Proyek,Machine Learning,Python,2.0,5.0,3.0,4.0,3.0,4.0,Ya,Tidak,Ya,0.0,Remote,Pariwisata,Spesialis,Analis Data
Teknik Lingkungan,3.52,Kesehatan,Kepemimpinan,Manajemen Proyek,Kepemimpinan,1.0,4.0,2.0,3.0,1.0,5.0,Ya,Tidak,Ya,0.0,Onsite,Pendidikan,Peneliti,Data Scientist
Teknik Industri,3.41,Pendidikan,Sql,Analisis Data,Machine Learning,1.0,2.0,3.0,1.0,1.0,1.0,Ya,Ya,Tidak,4.0,Remote,Pariwisata,Spesialis,Guru
Kedokteran,3.72,Kesehatan,Machine Learning,Desain Grafis,Riset,3.0,2.0,5.0,4.0,4.0,1.0,Tidak,Tidak,Ya,0.0,Onsite,Konsultan,Manajer,Analis Data
Pendidikan Bahasa Inggris,3.89,Konsultan,Desain Grafis,Kepemimpinan,Sql,5.0,1.0,2.0,1.0,4.0,2.0,Ya,Tidak,Tidak,1.0,Remote,Pertanian,Manajer,Ai Engineer
Statistika,3.49,Konsultan,Kepemimpinan,Manajemen Proyek,Machine Learning,3.0,3.0,3.0,1.0,3.0,2.0,Ya,Tidak,Tidak,5.0,Onsite,Keuangan,Manajer,Analis Data
Keperawatan,3.26,Teknologi,Manajemen Proyek,Desain Grafis,Python,1.0,3.0,1.0,2.0,2.0,5.0,Tidak,Ya,Ya,2.0,Hybrid,Pariwisata,Manajer,Guru
Film,3.3,Pertanian,Machine Learning,Desain Grafis,Pemasaran Digital,5.0,4.0,2.0,2.0,3.0,4.0,Ya,Tidak,Ya,0.0,Onsite,Keuangan,Spesialis,Diplomat
Teknik Lingkungan,3.45,Teknologi,Pemasaran Digital,Sql,Machine Learning,1.0,1.0,1.0,4.0,2.0,2.0,Ya,Tidak,Tidak,5.0,Hybrid,Pariwisata,Peneliti,Guru
Sistem Informasi,3.06,Pendidikan,Python,Python,Manajemen Proyek,1.0,5.0,3.0,5.0,3.0,3.0,Ya,Ya,Ya,3.0,Remote,Konsultan,Manajer,Animator
Pendidikan Matematika,3.51,Pariwisata,Python,Kepemimpinan,Desain Grafis,4.0,4.0,5.0,1.0,1.0,1.0,Ya,Ya,Tidak,5.0,Hybrid,Konsultan,Wirausaha,Business Analyst
Psikologi,3.3,Pertanian,Kepemimpinan,Sql,Sql,4.0,5.0,4.0,3.0,2.0,4.0,Tidak,Ya,Ya,5.0,Onsite,Konsultan,Spesialis,Ai Engineer
Teknik Kimia,3.64,Pertanian,Analisis Data,Riset,Sql,5.0,4.0,2.0,1.0,1.0,5.0,Tidak,Tidak,Tidak,0.0,Remote,Pariwisata,Spesialis,Konsultan
Pariwisata,3.45,Media,Sql,Manajemen Proyek,Komunikasi,2.0,4.0,2.0,4.0,1.0,1.0,Ya,Ya,Ya,5.0,Hybrid,Pertanian,Manajer,Business Analyst
Manajemen,3.46,Pariwisata,Sql,Desain Grafis,Machine Learning,2.0,4.0,5.0,1.0,1.0,5.0,Ya,Ya,Tidak,3.0,Hybrid,Teknologi,Wirausaha,Diplomat
Sistem Informasi,3.13,Manufaktur,Machine Learning,Python,Kepemimpinan,2.0,4.0,2.0,2.0,5.0,5.0,Tidak,Ya,Ya,0.0,Hybrid,Pemerintahan,Manajer,Software Engineer
Kesehatan Masyarakat,2.76,Manufaktur,Komunikasi,Komunikasi,Desain Grafis,3.0,2.0,5.0,5.0,4.0,1.0,Tidak,Ya,Ya,4.0,Hybrid,Keuangan,Peneliti,Ai Engineer
Keperawatan,3.72,Media,Pemasaran Digital,Pemasaran Digital,Sql,1.0,1.0,3.0,5.0,3.0,3.0,Ya,Ya,Ya,3.0,Hybrid,Pertanian,Wirausaha,Analis Data
Bisnis Digital,2.8,Keuangan,Analisis Data,Manajemen Proyek,Riset,5.0,2.0,3.0,2.0,4.0,4.0,Tidak,Ya,Ya,1.0,Hybrid,Pertanian,Spesialis,Software Engineer
Sistem Informasi,2.96,Manufaktur,Sql,Riset,Riset,5.0,3.0,5.0,5.0,3.0,3.0,Tidak,Tidak,Ya,0.0,Onsite,Keuangan,Manajer,Data Scientist
Teknik Mesin,3.97,Pemerintahan,Kepemimpinan,Desain Grafis,Sql,1.0,5.0,3.0,5.0,5.0,3.0,Tidak,Ya,Tidak,5.0,Hybrid,Teknologi,Spesialis,Business Analyst
Hukum,3.11,Media,Analisis Data,Pemasaran Digital,Kepemimpinan,5.0,5.0,2.0,1.0,1.0,4.0,Ya,Tidak,Ya,3.0,Onsite,Kesehatan,Spesialis,Software Engineer
Dkv,3.07,Pendidikan,Analisis Data,Riset,Pemasaran Digital,1.0,1.0,2.0,2.0,5.0,5.0,Tidak,Ya,Ya,2.0,Onsite,Pertanian,Spesialis,Konsultan
Psikologi,2.97,Konsultan,Pemasaran Digital,Machine Learning,Machine Learning,4.0,2.0,2.0,4.0,3.0,4.0,Tidak,Tidak,Tidak,4.0,Remote,Pariwisata,Spesialis,Data Scientist
Pariwisata,2.94,Kesehatan,Machine Learning,Analisis Data,Machine Learning,4.0,5.0,3.0,3.0,1.0,3.0,Ya,Ya,Ya,3.0,Onsite,Keuangan,Wirausaha,Akuntan
Pendidikan Bahasa Inggris,3.99,Media,Analisis Data,Kepemimpinan,Riset,5.0,3.0,4.0,2.0,5.0,5.0,Tidak,Ya,Tidak,4.0,Remote,Keuangan,Manajer,Dokter
Perikanan,3.08,Pendidikan,Machine Learning,Riset,Riset,3.0,3.0,2.0,1.0,5.0,1.0,Ya,Ya,Tidak,4.0,Remote,Konsultan,Spesialis,Dokter
Biologi,3.31,Pendidikan,Kepemimpinan,Desain Grafis,Machine Learning,3.0,3.0,2.0,2.0,4.0,2.0,Tidak,Ya,Ya,3.0,Remote,Keuangan,Spesialis,Guru
Teknologi Pangan,3.4,Konsultan,Manajemen Proyek,Analisis Data,Sql,3.0,2.0,1.0,5.0,3.0,3.0,Tidak,Tidak,Tidak,1.0,Remote,Konsultan,Spesialis,Konsultan
Pendidikan Bahasa Inggris,3.73,Pendidikan,Kepemimpinan,Machine Learning,Desain Grafis,2.0,4.0,3.0,1.0,4.0,4.0,Ya,Ya,Ya,3.0,Hybrid,Manufaktur,Spesialis,Diplomat
Fisika,3.83,Manufaktur,Manajemen Proyek,Analisis Data,Riset,4.0,5.0,1.0,5.0,4.0,2.0,Ya,Ya,Tidak,5.0,Hybrid,Pertanian,Manajer,Arsitek
Psikologi,3.25,Kesehatan,Machine Learning,Python,Komunikasi,1.0,2.0,5.0,1.0,3.0,5.0,Ya,Tidak,Tidak,3.0,Remote,Kesehatan,Peneliti,Perawat
Matematika,3.12,Pertanian,Analisis Data,Komunikasi,Machine Learning,3.0,5.0,1.0,2.0,2.0,3.0,Ya,Ya,Tidak,5.0,Remote,Kesehatan,Peneliti,Business Analyst
Teknik Lingkungan,2.94,Pendidikan,Komunikasi,Pemasaran Digital,Sql,5.0,1.0,1.0,5.0,5.0,5.0,Ya,Ya,Tidak,4.0,Onsite,Pariwisata,Peneliti,Dokter
Biologi,3.35,Keuangan,Kepemimpinan,Python,Manajemen Proyek,3.0,3.0,3.0,4.0,4.0,2.0,Ya,Tidak,Ya,2.0,Hybrid,Pertanian,Manajer,Dokter
Tata Boga,3.71,Manufaktur,Komunikasi,Machine Learning,Pemasaran Digital,3.0,4.0,2.0,2.0,3.0,3.0,Tidak,Ya,Tidak,0.0,Hybrid,Teknologi,Wirausaha,Akuntan
Biologi,3.25,Teknologi,Pemasaran Digital,Python,Pemasaran Digital,1.0,2.0,4.0,5.0,4.0,2.0,Ya,Tidak,Ya,4.0,Remote,Pendidikan,Manajer,Business Analyst
Dkv,2.87,Manufaktur,Python,Machine Learning,Analisis Data,1.0,1.0,1.0,4.0,3.0,4.0,Ya,Ya,Ya,5.0,Onsite,Pendidikan,Wirausaha,Animator
Teknologi Pangan,3.37,Konsultan,Komunikasi,Sql,Kepemimpinan,3.0,1.0,2.0,4.0,4.0,2.0,Tidak,Tidak,Ya,1.0,Onsite,Pariwisata,Wirausaha,Animator
Biologi,3.57,Pendidikan,Machine Learning,Sql,Pemasaran Digital,2.0,1.0,1.0,1.0,5.0,2.0,Ya,Tidak,Ya,3.0,Hybrid,Teknologi,Peneliti,Data Scientist
Administrasi Publik,3.36,Pemerintahan,Pemasaran Digital,Riset,Desain Grafis,4.0,4.0,2.0,2.0,4.0,5.0,Tidak,Ya,Tidak,3.0,Hybrid,Media,Peneliti,Dokter
Ekonomi,3.79,Pemerintahan,Analisis Data,Python,Manajemen Proyek,5.0,3.0,3.0,2.0,2.0,5.0,Ya,Tidak,Tidak,2.0,Remote,Pemerintahan,Manajer,Diplomat
Hukum,3.03,Media,Desain Grafis,Komunikasi,Kepemimpinan,5.0,3.0,5.0,2.0,1.0,4.0,Ya,Tidak,Tidak,0.0,Hybrid,Kesehatan,Wirausaha,Diplomat
Teknik Kimia,3.1,Pariwisata,Python,Manajemen Proyek,Analisis Data,3.0,2.0,5.0,4.0,1.0,3.0,Ya,Tidak,Ya,0.0,Onsite,Media,Spesialis,Animator
Biologi,3.14,Pariwisata,Manajemen Proyek,Kepemimpinan,Riset,3.0,2.0,3.0,5.0,4.0,1.0,Tidak,Ya,Tidak,4.0,Onsite,Keuangan,Peneliti,Jurnalis
Biologi,3.68,Teknologi,Python,Desain Grafis,Analisis Data,3.0,4.0,5.0,5.0,3.0,4.0,Ya,Ya,Ya,3.0,Hybrid,Media,Manajer,Perawat
Ekonomi,3.07,Pertanian,Pemasaran Digital,Riset,Machine Learning,5.0,5.0,5.0,5.0,5.0,5.0,Ya,Ya,Ya,3.0,Hybrid,Manufaktur,Manajer,Perawat
Teknik Lingkungan,3.39,Pemerintahan,Kepemimpinan,Sql,Sql,3.0,4.0,3.0,1.0,3.0,2.0,Ya,Tidak,Tidak,3.0,Onsite,Konsultan,Peneliti,Ai Engineer
Keperawatan,3.93,Pendidikan,Manajemen Proyek,Manajemen Proyek,Desain Grafis,3.0,5.0,5.0,5.0,5.0,4.0,Ya,Tidak,Ya,0.0,Remote,Pariwisata,Peneliti,Ai Engineer
Perhotelan,2.79,Pariwisata,Komunikasi,Python,Komunikasi,5.0,5.0,4.0,1.0,1.0,5.0,Tidak,Tidak,Tidak,0.0,Remote,Pendidikan,Manajer,Animator
Matematika,3.35,Pemerintahan,Pemasaran Digital,Python,Desain Grafis,2.0,2.0,3.0,2.0,3.0,4.0,Ya,Ya,Tidak,1.0,Remote,Teknologi,Peneliti,Ai Engineer
Informatika,3.96,Media,Analisis Data,Analisis Data,Python,3.0,1.0,3.0,4.0,5.0,2.0,Ya,Tidak,Tidak,4.0,Hybrid,Konsultan,Peneliti,Konsultan
Administrasi Publik,3.99,Konsultan,Analisis Data,Sql,Kepemimpinan,2.0,1.0,3.0,3.0,4.0,4.0,Tidak,Tidak,Tidak,0.0,Hybrid,Pariwisata,Peneliti,Konsultan
Pgsd,3.95,Teknologi,Kepemimpinan,Python,Riset,5.0,4.0,1.0,5.0,2.0,1.0,Ya,Tidak,Tidak,5.0,Hybrid,Keuangan,Peneliti,Animator
Fisika,3.88,Pariwisata,Riset,Machine Learning,Analisis Data,4.0,2.0,3.0,5.0,2.0,4.0,Ya,Tidak,Ya,5.0,Onsite,Pendidikan,Manajer,Ai Engineer
Akuntansi,3.17,Pertanian,Komunikasi,Kepemimpinan,Python,1.0,4.0,4.0,4.0,2.0,5.0,Ya,Ya,Ya,0.0,Hybrid,Teknologi,Wirausaha,Data Scientist
Pariwisata,3.76,Pertanian,Analisis Data,Komunikasi,Riset,3.0,1.0,2.0,2.0,1.0,3.0,Ya,Ya,Ya,2.0,Remote,Pemerintahan,Wirausaha,Perawat
Psikologi,3.96,Media,Manajemen Proyek,Kepemimpinan,Riset,5.0,5.0,5.0,1.0,5.0,2.0,Ya,Tidak,Ya,1.0,Hybrid,Pemerintahan,Wirausaha,Software Engineer
Fisika,3.56,Kesehatan,Komunikasi,Riset,Machine Learning,4.0,3.0,3.0,3.0,2.0,5.0,Ya,Tidak,Ya,3.0,Hybrid,Keuangan,Wirausaha,Diplomat
Biologi,3.53,Konsultan,Kepemimpinan,Analisis Data,Desain Grafis,2.0,5.0,5.0,1.0,1.0,1.0,Ya,Ya,Tidak,3.0,Remote,Manufaktur,Wirausaha,Guru
Statistika,3.42,Manufaktur,Python,Riset,Manajemen Proyek,1.0,4.0,4.0,4.0,5.0,1.0,Tidak,Ya,Ya,1.0,Hybrid,Media,Peneliti,Dokter
Pariwisata,3.79,Media,Pemasaran Digital,Kepemimpinan,Kepemimpinan,1.0,5.0,5.0,4.0,3.0,3.0,Tidak,Ya,Ya,2.0,Remote,Pemerintahan,Wirausaha,Diplomat
Teknik Sipil,3.51,Kesehatan,Analisis Data,Riset,Sql,3.0,3.0,1.0,4.0,2.0,4.0,Tidak,Tidak,Ya,2.0,Remote,Pendidikan,Peneliti,Ai Engineer
Manajemen,3.95,Teknologi,Riset,Komunikasi,Manajemen Proyek,3.0,5.0,5.0,4.0,1.0,5.0,Ya,Ya,Tidak,0.0,Remote,Pemerintahan,Manajer,Business Analyst
Teknik Mesin,3.08,Pariwisata,Pemasaran Digital,Manajemen Proyek,Desain Grafis,3.0,1.0,5.0,2.0,2.0,2.0,Tidak,Ya,Ya,4.0,Hybrid,Media,Wirausaha,Software Engineer
Animasi,3.82,Media,Sql,Kepemimpinan,Komunikasi,1.0,1.0,2.0,2.0,1.0,4.0,Tidak,Ya,Tidak,4.0,Hybrid,Pendidikan,Peneliti,Akuntan
Informatika,2.9,Manufaktur,Machine Learning,Desain Grafis,Sql,4.0,5.0,5.0,3.0,1.0,3.0,Ya,Tidak,Tidak,4.0,Remote,Pemerintahan,Peneliti,Ai Engineer
Arsitektur,2.76,Teknologi,Python,Riset,Desain Grafis,1.0,5.0,5.0,5.0,3.0,5.0,Ya,Ya,Ya,1.0,Onsite,Media,Peneliti,Guru
Animasi,3.96,Media,Desain Grafis,Manajemen Proyek,Python,3.0,4.0,4.0,3.0,3.0,3.0,Tidak,Ya,Tidak,1.0,Onsite,Pendidikan,Wirausaha,Analis Data
Sistem Informasi,3.05,Keuangan,Pemasaran Digital,Sql,Riset,2.0,4.0,3.0,1.0,2.0,3.0,Ya,Ya,Tidak,2.0,Onsite,Pertanian,Manajer,Business Analyst
Pendidikan Bahasa Inggris,3.16,Teknologi,Kepemimpinan,Riset,Kepemimpinan,2.0,4.0,2.0,1.0,1.0,3.0,Ya,Tidak,Ya,3.0,Hybrid,Pariwisata,Peneliti,Guru
Pendidikan Matematika,3.38,Manufaktur,Riset,Riset,Python,1.0,5.0,3.0,1.0,2.0,1.0,Tidak,Ya,Ya,1.0,Onsite,Teknologi,Wirausaha,Analis Data
Peternakan,3.02,Pendidikan,Riset,Pemasaran Digital,Machine Learning,4.0,4.0,4.0,2.0,4.0,3.0,Ya,Tidak,Ya,1.0,Onsite,Pendidikan,Spesialis,Perawat
Bisnis Digital,3.7,Keuangan,Machine Learning,Kepemimpinan,Kepemimpinan,1.0,2.0,3.0,1.0,2.0,4.0,Ya,Tidak,Tidak,4.0,Hybrid,Teknologi,Spesialis,Jurnalis
Kedokteran,3.51,Media,Manajemen Proyek,Riset,Sql,5.0,5.0,5.0,3.0,5.0,3.0,Ya,Ya,Tidak,1.0,Hybrid,Pertanian,Wirausaha,Arsitek
Pariwisata,3.37,Keuangan,Analisis Data,Machine Learning,Riset,1.0,4.0,2.0,4.0,1.0,2.0,Ya,Tidak,Tidak,0.0,Hybrid,Teknologi,Spesialis,Akuntan
Matematika,3.37,Kesehatan,Machine Learning,Pemasaran Digital,Analisis Data,2.0,2.0,3.0,1.0,3.0,2.0,Ya,Tidak,Ya,1.0,Hybrid,Keuangan,Peneliti,Software Engineer
Hukum,3.37,Pariwisata,Desain Grafis,Analisis Data,Riset,4.0,5.0,4.0,5.0,4.0,1.0,Tidak,Tidak,Tidak,5.0,Hybrid,Teknologi,Wirausaha,Diplomat
Fisika,3.65,Pendidikan,Pemasaran Digital,Kepemimpinan,Machine Learning,2.0,1.0,5.0,4.0,1.0,2.0,Ya,Tidak,Ya,2.0,Hybrid,Media,Peneliti,Software Engineer
Biologi,3.48,Pertanian,Analisis Data,Pemasaran Digital,Komunikasi,1.0,1.0,1.0,3.0,1.0,5.0,Ya,Ya,Ya,1.0,Remote,Pemerintahan,Peneliti,Analis Data
Informatika,3.27,Pendidikan,Kepemimpinan,Komunikasi,Machine Learning,4.0,4.0,5.0,1.0,5.0,1.0,Tidak,Ya,Ya,2.0,Remote,Manufaktur,Peneliti,Analis Data
Ekonomi,2.96,Konsultan,Python,Desain Grafis,Sql,3.0,2.0,5.0,3.0,2.0,4.0,Tidak,Ya,Tidak,0.0,Onsite,Keuangan,Peneliti,Ai Engineer
Agribisnis,2.84,Pariwisata,Manajemen Proyek,Sql,Pemasaran Digital,1.0,1.0,3.0,5.0,4.0,4.0,Ya,Tidak,Ya,5.0,Remote,Pertanian,Wirausaha,Diplomat
Hubungan Internasional,3.98,Pariwisata,Komunikasi,Riset,Desain Grafis,2.0,5.0,1.0,5.0,3.0,3.0,Tidak,Tidak,Tidak,2.0,Hybrid,Teknologi,Manajer,Ai Engineer
